Weekday,Date,Total registrations,New registrations,Total granted,Newly granted,Approx. throughput time ,In federal asylum centers,Private accomodation,Source
Wednesday,2022-03-09,1341,,,,,999,315,https://twitter.com/SEMIGRATION/status/1501529689269149701
Thursday,2022-03-10,1624,283,,,,1145,479,https://twitter.com/SEMIGRATION/status/1501856218805157889
Friday,2022-03-11,2111,487,,,,1415,696,https://twitter.com/SEMIGRATION/status/1502236476557434882
Saturday,2022-03-12,2475,364,,,,1643,832,https://twitter.com/SEMIGRATION/status/1502548031299796993
Sunday,2022-03-13,3117,642,,,,2011,1106,https://twitter.com/SEMIGRATION/status/1502912770290954244
Monday,2022-03-14,3843,726,,,,2281,1562,https://twitter.com/SEMIGRATION/status/1503298470253572098
Tuesday,2022-03-15,5211,1368,,,,3090,2121,https://twitter.com/SEMIGRATION/status/1503678716953645058
Wednesday,2022-03-16,6482,1271,,,,3642,2840,https://twitter.com/SEMIGRATION/status/1504022835370541062
Thursday,2022-03-17,7903,1421,,,,4239,3664,https://twitter.com/SEMIGRATION/status/1504385649696202764
Friday,2022-03-18,9059,1156,,,,4973,4086,https://twitter.com/SEMIGRATION/status/1504764294885486600
Saturday,2022-03-19,9826,767,,,,5409,4417,https://twitter.com/SEMIGRATION/status/1505143529315655685
Sunday,2022-03-20,-,-,,,,,,data not available
Monday,2022-03-21,11021,1195,2895,,8,6915,4106,https://twitter.com/SEMIGRATION/status/1505808385194737664 and https://twitter.com/SEMIGRATION/status/1505870634018082820
Tuesday,2022-03-22,11876,855,4518,1623,7,,,https://twitter.com/SEMIGRATION/status/1506268170272886787
Wednesday,2022-03-23,12750,874,6195,1677,6,,,https://twitter.com/SEMIGRATION/status/1506576230954459143
Thursday,2022-03-24,13601,851,7622,1427,7,,,https://twitter.com/SEMIGRATION/status/1506946010454630404
Friday,2022-03-25,14506,905,8891,1269,7,,,https://twitter.com/SEMIGRATION/status/1507303851350712340
Saturday,2022-03-26,15388,882,9635,744,7,,,https://twitter.com/SEMIGRATION/status/1507667257006206980
Sunday,2022-03-27,16520,1132,9982,347,6,,,https://twitter.com/SEMIGRATION/status/1508031010486763531
Monday,2022-03-28,17204,684,10437,455,7,,,https://twitter.com/SEMIGRATION/status/1508423221284065280
Tuesday,2022-03-29,18341,1137,11181,744,7,,,https://twitter.com/SEMIGRATION/status/1508751577254932486
Wednesday,2022-03-30,19289,948,11912,731,7,,,https://twitter.com/SEMIGRATION/status/1509127749599961090
Thursday,2022-03-31,20569,1280,13447,1535,7,,,https://twitter.com/SEMIGRATION/status/1509455564945989637
Friday,2022-04-01,21700,1131,15192,1745,6,,,https://twitter.com/SEMIGRATION/status/1509843558941003779
Saturday,2022-04-02,-,-,-,-,,,,data not available
Sunday,2022-04-03,22953,1253,16800,1608,6,,,https://twitter.com/SEMIGRATION/status/1510578544585461763
Monday,2022-04-04,24064,1111,17236,436,6,,,https://twitter.com/SEMIGRATION/status/1510950303587352584
Tuesday,2022-04-05,24837,773,18149,913,7,,,https://twitter.com/SEMIGRATION/status/1511296502471266304
Wednesday,2022-04-06,25626,789,19624,1475,6,,,https://twitter.com/SEMIGRATION/status/1511639901791477765
